1; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; 125
2; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyGreen, 0]; [EnemyYellow, 0]; [EnemyGreen, 1]; 175
3; [EnemyPurple, 0]; [EnemyPurple, 1]; [EnemyGreen, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyGreen, 0]; 230
4; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyYellow, 0]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyYellow, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyBlue, 0]; [EnemyRed, 0]; [EnemyBlue, 1]; 230
5; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyYellow, 0]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyYellow, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; 240
6; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyGreen, 0]; [EnemyOrange, 1]; [EnemyBlue, 0]; 275
7; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyYellow, 0]; [EnemyGreen, 1]; 370
8; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 0]; 325
9; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyGreen, 0]; [EnemyYellow, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; 350
10; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; 355
11; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyPurple, 0]; 310
12; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyBlue, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; 345
13; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyBlue, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 1]; 380
14; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyGreen, 1]; 365
15; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; 335
16; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyGreen, 1]; 290
17; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; 395
18; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; 345
19; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; 350
20; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyGreen, 0]; 305
21; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 1]; 345
22; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 1]; 345
23; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyBlue, 0]; 360
24; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyOrange, 0]; [EnemyGreen, 1]; [EnemyOrange, 0]; 310
25; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyGreen, 0]; 305
26; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyGreen, 0]; 305
27; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; 360
28; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyBlue, 0]; 360
29; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; 300
