1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 140
2; [inimigo2, (1350, 100)]; [inimigo4, (200, -50)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (500, -50)]; [inimigo4, (90, -50)]; 135
3; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (90, -50)]; [inimigo2, (90, -50)]; 135
4; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (620, 800)]; [inimigo2, (500, -50)]; 135
5; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (-100, 800)]; [inimigo2, (1350, 300)]; 115
6; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo2, (1350, 100)]; [inimigos, (90, -50)]; [inimigo1, (200, -50)]; [inimigo4, (90, -50)]; 85
7; [inimigo1, (200, -50)]; [inimigo4, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (200, -50)]; [inimigo1, (90, -50)]; [inimigo4, (-100, 300)]; 85
8; [inimigo1, (90, -50)]; [inimigo1, (200, -50)]; [inimigo4, (90, -50)]; [inimigo1, (-100, 300)]; [inimigos, (200, -50)]; [inimigo5, (90, -50)]; 75
9; [inimigo4, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (200, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (90, -50)]; [inimigo1, (200, -50)]; 40
10; [inimigo1, (-100, 300)]; [inimigo4, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (200, -50)]; [inimigo1, (90, -50)]; [inimigo4, (1200, 800)]; 155
11; [inimigo1, (-100, 300)]; [inimigo4, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (200, -50)]; [inimigo1, (90, -50)]; [inimigo4, (90, -50)]; 155
12; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 110
13; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; 110
14; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (90, -50)]; [inimigo1, (90, -50)]; [inimigo3, (-100, 300)]; 110
15; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo4, (90, -50)]; [inimigo1, (90, -50)]; [inimigos, (-100, 300)]; 65
16; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo5, (90, -50)]; 190
17; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; 135
18; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (1350, 800)]; 135
19; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; 135
20; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; 135
21; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; 90
22; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; 90
23; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; 135
