1; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 100
2; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
3; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 100
4; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
5; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
6; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
7; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
8; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 60
9; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 60
10; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
11; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
12; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
13; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 100
14; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
15; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
16; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
17; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 100
18; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
19; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 60
20; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
21; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
22; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
23; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 100
24; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 60
25; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
26; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
27; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 60
28; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 60
29; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
30; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 60

1; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
2; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
3; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
4; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
5; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
6; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
7; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
8; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 100
9; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
10; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
11; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
12; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
13; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
14; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
15; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 100
16; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
17; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 100
18; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
19; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
20; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
21; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 100
22; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
23; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 80
24; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 60
