1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 120
2; [inimigo3, (-100, 100)]; [inimigo5, (1350, 500)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo3, (1350, 500)]; [inimigo5, (90, -50)]; 100
3; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo5, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo3, (-100, 100)]; [inimigo3, (1350, 500)]; 70
4; [inimigo5, (1350, 500)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigo5, (90, -50)]; [inimigos, (-100, 100)]; 50
5; [inimigos, (90, -50)]; [inimigo5, (1350, 500)]; [inimigo3, (-100, 100)]; [inimigo1, (-100, 300)]; [inimigos, (1350, 500)]; [inimigo5, (-100, 100)]; 85
6; [inimigo5, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo5, (-100, 300)]; [inimigo1, (90, -50)]; 110
7; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo5, (1350, 500)]; [inimigos, (90, -50)]; [inimigo1, (90, -50)]; [inimigo1, (1350, 500)]; 45
8; [inimigo1, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo5, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; 55
9; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo5, (1350, 500)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; 10
10; [inimigo5, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo1, (90, -50)]; [inimigo5, (-100, 300)]; [inimigo1, (90, -50)]; 20
11; [inimigo5, (-100, 300)]; [inimigo5, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo5, (1350, 500)]; [inimigo2, (-100, 300)]; 80
12; [inimigo5, (-100, 300)]; [inimigo5, (1350, 500)]; [inimigo1, (-100, 300)]; [inimigo1, (90, -50)]; [inimigo5, (1350, 500)]; [inimigos, (-100, 300)]; 85
