1; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
2; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
3; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
4; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
5; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
6; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
7; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
8; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
9; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
10; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
11; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
12; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
13; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
14; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
15; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
16; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
17; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
18; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
19; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
20; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
21; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
22; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
23; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
24; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
25; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
26; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
27; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
28; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
29; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
30; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45

1; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
2; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
3; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 0
4; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; [inimigo1, (1350, 100)]; 45
