1; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
2; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 120
3; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 120
4; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
5; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 120
6; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
7; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
8; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
9; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
10; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 300
11; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
12; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
13; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
14; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 60
15; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
16; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
17; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 60
18; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
19; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 240
20; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 120
21; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 120
22; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
23; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
24; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; [inimigo3, (200, -50)]; 180
