1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 160
2; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (90, -50)]; [inimigos, (-100, 300)]; 150
3; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo3, (-100, 100)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 300)]; 220
4; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 220
5; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 160
6; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; 210
7; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; 210
8; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; 210
9; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; 210
10; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; 210
11; [inimigos, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo2, (-100, 300)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 300)]; 210
12; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo2, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (1350, 100)]; 180
13; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 150
14; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
15; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
16; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
17; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
18; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (1350, -50)]; [inimigos, (-100, 300)]; 120
19; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
20; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; 120
21; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; 120
22; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (1350, 700)]; 120
23; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
24; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
25; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigo2, (500, -50)]; [inimigos, (-100, 300)]; 150
26; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
27; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
28; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; 120
29; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; 120
30; [inimigos, (-100, 300)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; [inimigos, (500, -50)]; [inimigos, (-100, 300)]; [inimigos, (500, -50)]; 120

1; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (-100, 100)]; [inimigo4, (200, -50)]; [inimigo5, (1350, 500)]; 160
2; [inimigo3, (-100, 100)]; [inimigos, (90, -50)]; [inimigo1, (-100, 300)]; [inimigo2, (1350, 100)]; [inimigo3, (90, -50)]; [inimigos, (-100, 300)]; 150
3; [inimigos, (90, -50)]; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigo3, (-100, 100)]; [inimigos, (1350, 100)]; [inimigo2, (-100, 300)]; 220
4; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 220
5; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 220
6; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 220
7; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 220
8; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo3, (-100, 100)]; [inimigo2, (-100, 500)]; [inimigos, (90, -50)]; 160
9; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 500)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
10; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 500)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
11; [inimigo2, (1350, 100)]; [inimigos, (-100, 300)]; [inimigos, (90, -50)]; [inimigo2, (-100, 500)]; [inimigo2, (-100, 300)]; [inimigos, (90, -50)]; 210
