1; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
2; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
3; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
4; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
5; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
6; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
7; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
8; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
9; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
10; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
11; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
12; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
13; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
14; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
15; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
16; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
17; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
18; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
19; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
20; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
21; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
22; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
23; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
24; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
25; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
26; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
27; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
28; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
29; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
30; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120

1; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
2; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
3; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
4; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
5; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
6; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
7; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
8; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
9; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
10; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
11; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
12; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
13; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
14; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
15; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
16; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
17; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
18; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
19; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
20; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
21; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
22; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
23; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
24; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
25; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
26; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
27; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
28; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
29; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
30; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120

1; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
2; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
3; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
4; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
5; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
6; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
7; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
8; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
9; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
10; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; [inimigo4, (1350, 500)]; 120
