1; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
2; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
3; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
4; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
5; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
6; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
7; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
8; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
9; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
10; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
11; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
12; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
13; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
14; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
15; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
16; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
17; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
18; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
19; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
20; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
21; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
22; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
23; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
24; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
25; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
26; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
27; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 90
