1; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; 170
2; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyGreen, 1]; 110
3; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyGreen, 1]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyYellow, 1]; [EnemyGreen, 1]; [EnemyOrange, 1]; 70
4; [EnemyYellow, 1]; [EnemyPurple, 0]; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyRed, 1]; 80
5; [EnemyRed, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyRed, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; 115
6; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyPurple, 1]; [EnemyYellow, 1]; [EnemyRed, 0]; [EnemyYellow, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyGreen, 1]; 95
7; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyPurple, 0]; [EnemyOrange, 0]; 100
8; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyRed, 0]; 120
9; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; 140
10; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; 125
11; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; 150
12; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 155
13; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 155
14; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 180
15; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 165
16; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 180
17; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 180
18; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 0]; [EnemyRed, 1]; 180
19; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyBlue, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 220
20; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 180
21; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 180
22; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 180
23; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyRed, 0]; [EnemyRed, 0]; 180
24; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 180
25; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyBlue, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 165
26; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyRed, 0]; 180
