1; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; 125
2; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyYellow, 1]; [EnemyBlue, 0]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyPurple, 1]; [EnemyBlue, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyYellow, 0]; 125
3; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyYellow, 1]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; 155
4; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyRed, 1]; [EnemyPurple, 0]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyYellow, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; 120
5; [EnemyOrange, 1]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyPurple, 0]; [EnemyGreen, 0]; 185
6; [EnemyYellow, 1]; [EnemyYellow, 0]; [EnemyPurple, 1]; [EnemyBlue, 1]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyGreen, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyRed, 1]; 120
7; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyGreen, 0]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyRed, 0]; 45
8; [EnemyYellow, 0]; [EnemyRed, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyBlue, 0]; [EnemyGreen, 1]; 110
9; [EnemyOrange, 0]; [EnemyGreen, 1]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyGreen, 0]; 45
10; [EnemyYellow, 1]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyGreen, 1]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyGreen, 0]; 35
11; [EnemyOrange, 0]; [EnemyBlue, 0]; [EnemyGreen, 1]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyPurple, 1]; 45
12; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyPurple, 1]; [EnemyPurple, 1]; [EnemyBlue, 1]; [EnemyRed, 1]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyOrange, 1]; [EnemyRed, 0]; 70
13; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyBlue, 0]; [EnemyPurple, 0]; [EnemyYellow, 1]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyPurple, 1]; [EnemyYellow, 0]; [EnemyGreen, 0]; [EnemyYellow, 0]; 145
14; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyYellow, 0]; [EnemyBlue, 1]; [EnemyGreen, 1]; [EnemyPurple, 0]; [EnemyYellow, 1]; [EnemyBlue, 1]; [EnemyOrange, 1]; [EnemyPurple, 0]; 65
15; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyGreen, 1]; 65
16; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyPurple, 0]; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyBlue, 1]; [EnemyGreen, 0]; [EnemyOrange, 1]; 105
17; [EnemyPurple, 1]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyYellow, 1]; [EnemyRed, 1]; 110
18; [EnemyPurple, 1]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyPurple, 1]; [EnemyYellow, 1]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyBlue, 1]; [EnemyBlue, 0]; 75
19; [EnemyPurple, 1]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyGreen, 0]; [EnemyYellow, 1]; [EnemyBlue, 1]; [EnemyRed, 0]; [EnemyYellow, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyYellow, 1]; [EnemyRed, 0]; 105
20; [EnemyRed, 0]; [EnemyBlue, 1]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyYellow, 0]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyYellow, 0]; 95
21; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyGreen, 1]; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyBlue, 0]; 105
22; [EnemyGreen, 0]; [EnemyOrange, 1]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 1]; 175
23; [EnemyOrange, 1]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyYellow, 1]; 75
24; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyRed, 1]; 90
25; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyBlue, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyBlue, 1]; 90
26; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyPurple, 1]; [EnemyYellow, 1]; 130
27; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyYellow, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyPurple, 1]; 110
28; [EnemyBlue, 1]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyPurple, 1]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyPurple, 0]; [EnemyRed, 1]; 110
29; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyYellow, 1]; [EnemyGreen, 1]; [EnemyPurple, 1]; [EnemyYellow, 1]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyOrange, 0]; 135
30; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyBlue, 1]; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; 80

1; [EnemyPurple, 0]; [EnemyBlue, 1]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyBlue, 0]; 85
2; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyGreen, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyRed, 1]; 75
3; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyPurple, 1]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyPurple, 0]; 150
4; [EnemyPurple, 0]; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyOrange, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyYellow, 1]; 65
5; [EnemyOrange, 1]; [EnemyYellow, 1]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyGreen, 0]; 220
6; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyBlue, 0]; [EnemyGreen, 0]; 90
7; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyBlue, 1]; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyGreen, 0]; 155
8; [EnemyBlue, 1]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyBlue, 1]; 85
9; [EnemyOrange, 1]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyGreen, 1]; [EnemyGreen, 1]; 115
10; [EnemyPurple, 1]; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyPurple, 0]; [EnemyBlue, 1]; [EnemyPurple, 1]; [EnemyGreen, 0]; 140
11; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyGreen, 0]; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyYellow, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyPurple, 1]; [EnemyGreen, 0]; [EnemyPurple, 0]; 210
12; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyGreen, 1]; [EnemyBlue, 1]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyPurple, 1]; 195
13; [EnemyPurple, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyRed, 0]; [EnemyGreen, 1]; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyYellow, 1]; 330
14; [EnemyOrange, 0]; [EnemyGreen, 1]; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyOrange, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyGreen, 1]; 155
15; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyPurple, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; 100
16; [EnemyGreen, 1]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyRed, 0]; [EnemyBlue, 0]; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyOrange, 0]; [EnemyYellow, 1]; 85
17; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyYellow, 1]; [EnemyGreen, 0]; 205
18; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyPurple, 1]; 100
19; [EnemyGreen, 1]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyYellow, 1]; [EnemyGreen, 0]; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyGreen, 0]; [EnemyOrange, 1]; 145
20; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyPurple, 1]; [EnemyBlue, 0]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyOrange, 0]; 150
21; [EnemyYellow, 1]; [EnemyYellow, 1]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyGreen, 0]; [EnemyRed, 0]; 70
22; [EnemyYellow, 0]; [EnemyGreen, 1]; [EnemyYellow, 1]; [EnemyBlue, 1]; [EnemyBlue, 0]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyRed, 0]; 125
23; [EnemyGreen, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyRed, 1]; [EnemyRed, 0]; 140
24; [EnemyYellow, 1]; [EnemyPurple, 0]; [EnemyOrange, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyGreen, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyBlue, 0]; 75
25; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyRed, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyBlue, 1]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyYellow, 0]; 105
26; [EnemyPurple, 1]; [EnemyBlue, 1]; [EnemyBlue, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyRed, 1]; 185
27; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyBlue, 0]; [EnemyRed, 0]; [EnemyBlue, 1]; [EnemyBlue, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyBlue, 0]; [EnemyGreen, 1]; [EnemyGreen, 0]; 190
28; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyBlue, 0]; [EnemyOrange, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyYellow, 0]; [EnemyPurple, 1]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyYellow, 1]; [EnemyBlue, 1]; 80
29; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyBlue, 1]; 165
30; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyBlue, 1]; [EnemyPurple, 1]; [EnemyYellow, 1]; [EnemyRed, 0]; [EnemyBlue, 1]; [EnemyGreen, 0]; [EnemyRed, 1]; 45

1; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyBlue, 0]; 115
2; [EnemyBlue, 1]; [EnemyYellow, 0]; [EnemyBlue, 1]; [EnemyGreen, 1]; [EnemyOrange, 1]; [EnemyBlue, 1]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyGreen, 1]; 285
3; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyRed, 1]; [EnemyPurple, 0]; [EnemyPurple, 1]; [EnemyBlue, 1]; [EnemyOrange, 1]; [EnemyGreen, 1]; [EnemyRed, 1]; 200
4; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyYellow, 1]; 180
5; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyYellow, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyYellow, 1]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyBlue, 0]; 65
6; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyBlue, 0]; [EnemyBlue, 0]; [EnemyBlue, 0]; 80
7; [EnemyBlue, 1]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyGreen, 1]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyOrange, 0]; [EnemyBlue, 0]; 140
8; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyBlue, 0]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyGreen, 1]; 140
9; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyRed, 0]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyBlue, 1]; [EnemyBlue, 0]; 120
10; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyBlue, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; 225
11; [EnemyOrange, 1]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyYellow, 1]; [EnemyBlue, 1]; 100
12; [EnemyPurple, 0]; [EnemyPurple, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyPurple, 0]; [EnemyPurple, 1]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; 65
13; [EnemyYellow, 1]; [EnemyBlue, 0]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyBlue, 1]; [EnemyBlue, 0]; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyPurple, 1]; [EnemyBlue, 0]; 90
14; [EnemyBlue, 1]; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyBlue, 1]; [EnemyGreen, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyBlue, 0]; [EnemyGreen, 0]; [EnemyOrange, 1]; 120
15; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyPurple, 1]; [EnemyPurple, 1]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyBlue, 0]; [EnemyOrange, 0]; [EnemyRed, 1]; 80
16; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyPurple, 1]; [EnemyPurple, 1]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyPurple, 0]; [EnemyYellow, 1]; [EnemyGreen, 1]; 130
17; [EnemyPurple, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyBlue, 0]; [EnemyYellow, 0]; [EnemyBlue, 1]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyOrange, 0]; [EnemyRed, 0]; [EnemyRed, 1]; 110
18; [EnemyGreen, 1]; [EnemyOrange, 1]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyYellow, 0]; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyOrange, 1]; 100
19; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyBlue, 0]; [EnemyRed, 0]; [EnemyRed, 0]; [EnemyPurple, 0]; 65
20; [EnemyOrange, 1]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyRed, 0]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyRed, 0]; 155
21; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyBlue, 0]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyRed, 0]; [EnemyOrange, 1]; [EnemyGreen, 1]; [EnemyBlue, 1]; [EnemyRed, 0]; [EnemyBlue, 1]; [EnemyPurple, 0]; 65
22; [EnemyPurple, 1]; [EnemyPurple, 0]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyBlue, 1]; [EnemyPurple, 0]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyPurple, 1]; [EnemyRed, 0]; 90
23; [EnemyGreen, 0]; [EnemyOrange, 1]; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyGreen, 1]; [EnemyBlue, 0]; 85
24; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyPurple, 0]; [EnemyBlue, 0]; [EnemyPurple, 0]; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyPurple, 1]; 85
25; [EnemyGreen, 1]; [EnemyPurple, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyYellow, 1]; [EnemyBlue, 0]; [EnemyGreen, 0]; [EnemyRed, 1]; 55
26; [EnemyPurple, 1]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyGreen, 0]; [EnemyPurple, 1]; [EnemyYellow, 1]; [EnemyBlue, 1]; [EnemyBlue, 1]; [EnemyRed, 0]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyGreen, 1]; 170
