1; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyYellow, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; 55
2; [EnemyYellow, 0]; [EnemyRed, 1]; [EnemyYellow, 1]; [EnemyBlue, 0]; [EnemyPurple, 0]; [EnemyGreen, 1]; [EnemyRed, 1]; [EnemyPurple, 1]; [EnemyBlue, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyYellow, 0]; 90
3; [EnemyGreen, 1]; [EnemyGreen, 0]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyYellow, 1]; [EnemyOrange, 0]; [EnemyGreen, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyGreen, 0]; 125
4; [EnemyPurple, 0]; [EnemyRed, 1]; [EnemyBlue, 0]; [EnemyRed, 1]; [EnemyPurple, 0]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyYellow, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; 45
5; [EnemyOrange, 1]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyYellow, 1]; [EnemyGreen, 0]; [EnemyBlue, 1]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyPurple, 0]; [EnemyGreen, 0]; 110
6; [EnemyYellow, 1]; [EnemyYellow, 0]; [EnemyPurple, 1]; [EnemyBlue, 1]; [EnemyOrange, 0]; [EnemyPurple, 1]; [EnemyGreen, 0]; [EnemyPurple, 1]; [EnemyRed, 1]; [EnemyOrange, 1]; [EnemyRed, 0]; [EnemyRed, 1]; 100
7; [EnemyPurple, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyGreen, 0]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyOrange, 1]; [EnemyGreen, 0]; [EnemyRed, 1]; [EnemyGreen, 1]; [EnemyRed, 0]; 70
8; [EnemyYellow, 0]; [EnemyRed, 0]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyRed, 0]; [EnemyGreen, 0]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyYellow, 1]; [EnemyBlue, 0]; [EnemyGreen, 1]; 105
9; [EnemyOrange, 0]; [EnemyGreen, 1]; [EnemyYellow, 1]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyOrange, 1]; [EnemyPurple, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyRed, 0]; [EnemyPurple, 1]; [EnemyGreen, 0]; 65
10; [EnemyYellow, 1]; [EnemyOrange, 0]; [EnemyOrange, 1]; [EnemyYellow, 0]; [EnemyGreen, 1]; [EnemyRed, 0]; [EnemyGreen, 1]; [EnemyOrange, 0]; [EnemyYellow, 0]; [EnemyBlue, 0]; [EnemyYellow, 1]; [EnemyGreen, 0]; 65
11; [EnemyOrange, 0]; [EnemyBlue, 0]; [EnemyGreen, 1]; [EnemyPurple, 1]; [EnemyOrange, 0]; [EnemyRed, 1]; [EnemyBlue, 1]; [EnemyYellow, 1]; [EnemyYellow, 0]; [EnemyYellow, 0]; [EnemyPurple, 0]; [EnemyPurple, 1]; 30
